H2_MODEL_MINING_CLOSED,bootstrap_ci_high,bootstrap_ci_low,cost_bps_per_active_leg,dates,decision_eligible,evidence_lane,horizon,mean_cross_sectional_spearman,mean_negative_leg_return,mean_net_long_short_spread,mean_positive_leg_return,median_net_long_short_spread,negative_leg_coverage,paper_positions,portfolio,positive_leg_coverage,real_orders
True,0.0012590769639642325,-0.000840292356095399,0,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.0002835855909342626,0.00016477453264383864,0.0004483601235781012,0.0,0.8370625358577166,0,top1_bottom1,0.1878944348823867,0
True,0.0006925715590082628,-0.0014363656128539301,5,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.0002835855909342626,-0.0003477039527262134,0.0004483601235781012,0.0,0.8370625358577166,0,top1_bottom1,0.1878944348823867,0
True,0.00019919851616108375,-0.0018787514413402785,10,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.0002835855909342626,-0.0008601824380962652,0.0004483601235781012,0.0,0.8370625358577166,0,top1_bottom1,0.1878944348823867,0
True,-0.0003389541044102347,-0.0024443460437962717,15,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.0002835855909342626,-0.0013726609234663168,0.0004483601235781012,0.0,0.8370625358577166,0,top1_bottom1,0.1878944348823867,0
True,-0.0012873307779518823,-0.0034581084980983157,25,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.0002835855909342626,-0.0023976178942064197,0.0004483601235781012,0.0,0.8370625358577166,0,top1_bottom1,0.1878944348823867,0
True,-0.003891965536602048,-0.005978985843877889,50,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.0002835855909342626,-0.004960010321056678,0.0004483601235781012,0.0,0.8370625358577166,0,top1_bottom1,0.1878944348823867,0
True,0.0008262905147620341,-0.0009948915848400426,0,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.00036160887609532505,-8.0644721895202e-05,0.0002809641542001231,0.0,0.9406196213425129,0,top2_bottom2,0.3674698795180723,0
True,0.00020700510990288336,-0.0016774399760234031,5,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.00036160887609532505,-0.0007346894723254951,0.0002809641542001231,0.0,0.9406196213425129,0,top2_bottom2,0.3674698795180723,0
True,-0.00041833227119716026,-0.002398757258284639,10,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.00036160887609532505,-0.001388734222755788,0.0002809641542001231,-0.0003323219280114134,0.9406196213425129,0,top2_bottom2,0.3674698795180723,0
True,-0.0010912948483351882,-0.0030484265821348966,15,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.00036160887609532505,-0.00204277897318608,0.0002809641542001231,-0.0009247808291785434,0.9406196213425129,0,top2_bottom2,0.3674698795180723,0
True,-0.0023959082287834865,-0.004310659329071247,25,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.00036160887609532505,-0.0033508684740466655,0.0002809641542001231,-0.0022629258592102553,0.9406196213425129,0,top2_bottom2,0.3674698795180723,0
